"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query"
"21.10.3.9","arraySort",0,0,"",""
"21.10.3.9","dumpColumnStructure",0,0,"",""
"21.10.3.9","multiSearchFirstIndex",0,0,"",""
"21.10.3.9","arrayReverseSplit",0,0,"",""
"21.10.3.9","ifNull",0,1,"",""
"21.10.3.9","normalizeQueryKeepNames",0,0,"",""
"21.10.3.9","xxHash64",0,0,"",""
"21.10.3.9","in",0,0,"",""
"21.10.3.9","arrayReverseFill",0,0,"",""
"21.10.3.9","erfc",0,0,"",""
"21.10.3.9","cutToFirstSignificantSubdomainCustomWithWWW",0,0,"",""
"21.10.3.9","arrayFill",0,0,"",""
"21.10.3.9","substringUTF8",0,0,"",""
"21.10.3.9","arrayFirst",0,0,"",""
"21.10.3.9","arrayAvg",0,0,"",""
"21.10.3.9","cos",0,1,"",""
"21.10.3.9","arrayMax",0,0,"",""
"21.10.3.9","toColumnTypeName",0,0,"",""
"21.10.3.9","arrayMin",0,0,"",""
"21.10.3.9","toIntervalDay",0,0,"",""
"21.10.3.9","reinterpretAsFloat32",0,0,"",""
"21.10.3.9","arrayAll",0,0,"",""
"21.10.3.9","or",0,0,"",""
"21.10.3.9","arrayExists",0,0,"",""
"21.10.3.9","trimLeft",0,0,"",""
"21.10.3.9","arrayMap",0,0,"",""
"21.10.3.9","polygonsSymDifferenceCartesian",0,0,"",""
"21.10.3.9","gccMurmurHash",0,0,"",""
"21.10.3.9","exp2",0,0,"",""
"21.10.3.9","polygonPerimeterCartesian",0,0,"",""
"21.10.3.9","murmurHash3_128",0,0,"",""
"21.10.3.9","polygonConvexHullCartesian",0,0,"",""
"21.10.3.9","murmurHash3_32",0,0,"",""
"21.10.3.9","globalNullIn",0,0,"",""
"21.10.3.9","javaHashUTF16LE",0,0,"",""
"21.10.3.9","URLHash",0,0,"",""
"21.10.3.9","reinterpretAsInt16",0,0,"",""
"21.10.3.9","regionToCountry",0,0,"",""
