"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete"
"24.3.12.76.altinitystable","min_delay_to_mutate_ms","10",0,"Min delay of mutating MergeTree table in milliseconds, if there are a lot of unfinished mutations",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_delay_to_mutate_ms","1000",0,"Max delay of mutating MergeTree table in milliseconds, if there are a lot of unfinished mutations",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","exclude_deleted_rows_for_part_size_in_merge","0",0,"Use an estimated source part size (excluding lightweight deleted rows) when selecting parts to merge",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","parts_to_delay_insert","1000",0,"If table contains at least that many active parts in single partition, artificially slow down insert into table. Disabled if set to 0",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","inactive_parts_to_delay_insert","0",0,"If table contains at least that many inactive parts in single partition, artificially slow down insert into table.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","parts_to_throw_insert","3000",0,"If more than this number active parts in single partition, throw 'Too many parts ...' exception.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","inactive_parts_to_throw_insert","0",0,"If more than this number inactive parts in single partition, throw 'Too many inactive parts ...' exception.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_avg_part_size_for_too_many_parts","1073741824",0,"The 'too many parts' check according to 'parts_to_delay_insert' and 'parts_to_throw_insert' will be active only if the average part size (in the relevant partition) is not larger than the specified threshold. If it is larger than the specified threshold, the INSERTs will be neither delayed or rejected. This allows to have hundreds of terabytes in a single table on a single server if the parts are successfully merged to larger parts. This does not affect the thresholds on inactive parts or total parts.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_delay_to_insert","1",0,"Max delay of inserting data into MergeTree table in seconds, if there are a lot of unmerged parts in single partition.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_delay_to_insert_ms","10",0,"Min delay of inserting data into MergeTree table in milliseconds, if there are a lot of unmerged parts in single partition.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_parts_in_total","100000",0,"If more than this number active parts in all partitions in total, throw 'Too many parts ...' exception.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","async_insert","0",0,"If true, data from INSERT query is stored in queue and later flushed to table in background.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","add_implicit_sign_column_constraint_for_collapsing_engine","0",0,"If true, add implicit constraint for sign column for CollapsingMergeTree engine.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","sleep_before_commit_local_part_in_replicated_table_ms","0",0,"For testing. Do not change it.",\N,\N,0,"Milliseconds",0
"24.3.12.76.altinitystable","simultaneous_parts_removal_limit","0",0,"Maximum number of parts to remove during one CleanupThread iteration (0 means unlimited).",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","replicated_deduplication_window","1000",0,"How many last blocks of hashes should be kept in ZooKeeper (old blocks will be deleted).",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","replicated_deduplication_window_seconds","604800",0,"Similar to ""replicated_deduplication_window"", but determines old blocks by their lifetime. Hash of an inserted block will be deleted (and the block will not be deduplicated after) if it outside of one ""window"". You can set very big replicated_deduplication_window to avoid duplicating INSERTs during that period of time.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","replicated_deduplication_window_for_async_inserts","10000",0,"How many last hash values of async_insert blocks should be kept in ZooKeeper (old blocks will be deleted).",\N,\N,0,"UInt64",0
